Centaur Zendo round 4 (training)
round_id : c2eee4ac805144a8aa794031acdfd1d8
written  : 2026-09-04 12:18:58Z
presented=487  answered=487  correct=276  skipped=0
client answer latency: mean 0.130 ms  median 0.122 ms  max 1.079 ms  (n=487)

 idx  name          clue                                      answer                                    score
------------------------------------------------------------------------------------------------------------
   0  velk          HXDP|4                                    H X D P\n|  \  |\nH D X P\n \  | |\nD H…  1
  35  velk          SIHD|6                                    S I H D\n|  \  |\nS H I D\n \  | |\nH S…  0
  36  velk          KAPJ|6                                    K A P J\n|  \  |\nK P A J\n \  | |\nP K…  1
  37  velk          MBKZG|2                                   M B K Z G\n| |  \  |\nM B Z K G\n|  \  …  1
  38  velk          SYWM|3                                    S Y W M\n|  \  |\nS W Y M\n \  | |\nW S…  0
  39  velk          PMNYDG|5                                  P M N Y D G\n| | |  \  |\nP M N D Y G\n…  1
  40  velk          MORHW|4                                   M O R H W\n| |  \  |\nM O H R W\n|  \  …  1
  41  velk          UPMQ|5                                    U P M Q\n|  \  |\nU M P Q\n \  | |\nM U…  1
  42  velk          SLBYHI|6                                  S L B Y H I\n| | |  \  |\nS L B H Y I\n…  0
  43  velk          NHRIOC|4                                  N H R I O C\n| | |  \  |\nN H R O I C\n…  0
  44  velk          KNWH|3                                    K N W H\n|  \  |\nK W N H\n \  | |\nW K…  1
  45  velk          YJBQGH|3                                  Y J B Q G H\n \  | | | |\nJ Y B Q G H\n…  0
  46  velk          HQCE|6                                    H Q C E\n|  \  |\nH C Q E\n \  | |\nC H…  0
  47  velk          NXVJUW|4                                  N X V J U W\n| | |  \  |\nN X V U J W\n…  1
  48  velk          KUMG|4                                    K U M G\n|  \  |\nK M U G\n \  | |\nM K…  1
  49  velk          JKDZ|2                                    J K D Z\n|  \  |\nJ D K Z\n \  | |\nD J…  1
  50  velk          ACLVNT|6                                  A C L V N T\n| | |  \  |\nA C L N V T\n…  0
  51  velk          RVWTH|4                                   R V W T H\n| |  \  |\nR V T W H\n|  \  …  0
  52  velk          URAZ|3                                    U R A Z\n|  \  |\nU A R Z\n \  | |\nA U…  1
  53  velk          GATK|4                                    G A T K\n \  | |\nA G T K\n| |  \\nA G …  1
  54  velk          BDOPMZ|4                                  B D O P M Z\n| | |  \  |\nB D O M P Z\n…  0
  55  velk          WSNHV|5                                   W S N H V\n| |  \  |\nW S H N V\n|  \  …  1
  56  velk          PWVMJ|5                                   P W V M J\n| |  \  |\nP W M V J\n|  \  …  1
  57  velk          PROT|3                                    P R O T\n|  \  |\nP O R T\n \  | |\nO P…  1
  58  velk          TYDBW|3                                   T Y D B W\n| |  \  |\nT Y B D W\n|  \  …  0
  59  velk          JSVOX|3                                   J S V O X\n| |  \  |\nJ S O V X\n|  \  …  0
  60  velk          XDYGW|5                                   X D Y G W\n| |  \  |\nX D G Y W\n|  \  …  0
  61  velk          SRLTP|4                                   S R L T P\n \  | | |\nR S L T P\n| |  \…  0
  62  velk          SYOLGN|2                                  S Y O L G N\n| | |  \  |\nS Y O G L N\n…  1
  63  velk          NZLRO|4                                   N Z L R O\n| |  \  |\nN Z R L O\n|  \  …  1
  64  velk          LXGVPI|2                                  L X G V P I\n| | |  \  |\nL X G P V I\n…  1
  65  velk          BEDRUP|5                                  B E D R U P\n| |  \  | |\nB E R D U P\n…  1
  66  velk          BWLSG|4                                   B W L S G\n| |  \  |\nB W S L G\n|  \  …  0
  67  velk          BFQNSP|2                                  B F Q N S P\n| | |  \  |\nB F Q S N P\n…  1
  68  velk          JAZSR|5                                   J A Z S R\n| |  \  |\nJ A S Z R\n|  \  …  0
  69  velk          WAXJ|2                                    W A X J\n|  \  |\nW X A J\n \  | |\nX W…  1
  70  velk          NCAQ|3                                    N C A Q\n|  \  |\nN A C Q\n \  | |\nA N…  0
  71  velk          BNWSL|2                                   B N W S L\n| |  \  |\nB N S W L\n|  \  …  1
  72  velk          YOAV|5                                    Y O A V\n|  \  |\nY A O V\n \  | |\nA Y…  1
  73  velk          SQNAIV|6                                  S Q N A I V\n| |  \  | |\nS Q A N I V\n…  1
  74  velk          CLKQA|5                                   C L K Q A\n| |  \  |\nC L Q K A\n|  \  …  0
  75  velk          NVSIZ|6                                   N V S I Z\n| |  \  |\nN V I S Z\n|  \  …  0
  76  velk          IEZXBY|5                                  I E Z X B Y\n| | |  \  |\nI E Z B X Y\n…  0
  77  velk          HVCZ|3                                    H V C Z\n \  | |\nV H C Z\n| |  \\nV H …  1
  78  velk          XCGBEW|3                                  X C G B E W\n| | |  \  |\nX C G E B W\n…  0
  79  velk          QUBDS|3                                   Q U B D S\n| |  \  |\nQ U D B S\n|  \  …  1
  80  velk          DYWHTV|6                                  D Y W H T V\n| | |  \  |\nD Y W T H V\n…  1
  81  velk          PXZRN|5                                   P X Z R N\n|  \  | |\nP Z X R N\n \  | …  1
  82  velk          MLSJ|2                                    M L S J\n|  \  |\nM S L J\n \  | |\nS M…  1
  83  velk          CQAJL|4                                   C Q A J L\n| |  \  |\nC Q J A L\n|  \  …  0
  84  velk          ZARPB|5                                   Z A R P B\n| |  \  |\nZ A P R B\n|  \  …  0
  85  velk          KRAZU|4                                   K R A Z U\n \  | | |\nR K A Z U\n| |  \…  0
  86  velk          NRHF|4                                    N R H F\n|  \  |\nN H R F\n \  | |\nH N…  0
  87  velk          YVWM|5                                    Y V W M\n|  \  |\nY W V M\n \  | |\nW Y…  1
  88  velk          MJBRQ|3                                   M J B R Q\n| |  \  |\nM J R B Q\n|  \  …  1
  89  velk          SARJT|6                                   S A R J T\n|  \  | |\nS R A J T\n \  | …  1
  90  velk          QHPO|4                                    Q H P O\n|  \  |\nQ P H O\n \  | |\nP Q…  0
  91  velk          XKEUWG|3                                  X K E U W G\n| | |  \  |\nX K E W U G\n…  0
  92  velk          QIHY|3                                    Q I H Y\n|  \  |\nQ H I Y\n \  | |\nH Q…  1
  93  velk          ERBVOD|5                                  E R B V O D\n \  | | | |\nR E B V O D\n…  0
  94  velk          ZEXA|2                                    Z E X A\n|  \  |\nZ X E A\n \  | |\nX Z…  1
  95  velk          GVCB|6                                    G V C B\n|  \  |\nG C V B\n \  | |\nC G…  1
  96  velk          CIOT|5                                    C I O T\n|  \  |\nC O I T\n \  | |\nO C…  1
  97  velk          WHAEXB|3                                  W H A E X B\n| |  \  | |\nW H E A X B\n…  1
  98  velk          ZDBIT|4                                   Z D B I T\n| |  \  |\nZ D I B T\n|  \  …  0
  99  velk          GPRH|6                                    G P R H\n|  \  |\nG R P H\n \  | |\nR G…  0
 100  velk          FNMLW|4                                   F N M L W\n| |  \  |\nF N L M W\n|  \  …  0
 101  velk          PRDLX|3                                   P R D L X\n \  | | |\nR P D L X\n| |  \…  0
 102  velk          RFKES|4                                   R F K E S\n| |  \  |\nR F E K S\n|  \  …  0
 103  velk          WYUPH|5                                   W Y U P H\n| |  \  |\nW Y P U H\n|  \  …  1
 104  velk          FQHKRN|2                                  F Q H K R N\n| | |  \  |\nF Q H R K N\n…  1
 105  velk          WVPG|5                                    W V P G\n|  \  |\nW P V G\n \  | |\nP W…  1
 106  velk          SZGRT|5                                   S Z G R T\n| |  \  |\nS Z R G T\n|  \  …  0
 107  velk          CZFK|3                                    C Z F K\n|  \  |\nC F Z K\n \  | |\nF C…  0
 108  velk          FHNUDZ|4                                  F H N U D Z\n| | |  \  |\nF H N D U Z\n…  0
 109  velk          NTFV|6                                    N T F V\n \  | |\nT N F V\n| |  \\nT N …  1
 110  velk          HTFMU|6                                   H T F M U\n| |  \  |\nH T M F U\n|  \  …  0
 111  velk          TZXQ|6                                    T Z X Q\n|  \  |\nT X Z Q\n \  | |\nX T…  1
 112  velk          GWPN|5                                    G W P N\n|  \  |\nG P W N\n \  | |\nP G…  1
 113  velk          IHCR|2                                    I H C R\n|  \  |\nI C H R\n \  | |\nC I…  1
 114  velk          BFLM|5                                    B F L M\n|  \  |\nB L F M\n \  | |\nL B…  0
 115  velk          BGJWH|5                                   B G J W H\n| |  \  |\nB G W J H\n|  \  …  0
 116  velk          ELKT|6                                    E L K T\n|  \  |\nE K L T\n \  | |\nK E…  1
 117  velk          LUYGZF|4                                  L U Y G Z F\n \  | | | |\nU L Y G Z F\n…  0
 118  velk          NYAZPO|6                                  N Y A Z P O\n| | |  \  |\nN Y A P Z O\n…  0
 119  velk          GSQFX|5                                   G S Q F X\n| |  \  |\nG S F Q X\n|  \  …  1
 120  velk          THOEL|5                                   T H O E L\n| |  \  |\nT H E O L\n|  \  …  1
 121  velk          HPCIT|3                                   H P C I T\n|  \  | |\nH C P I T\n \  | …  1
 122  velk          WDEH|2                                    W D E H\n|  \  |\nW E D H\n \  | |\nE W…  1
 123  velk          NDVBQX|4                                  N D V B Q X\n| | |  \  |\nN D V Q B X\n…  0
 124  velk          HDYWL|5                                   H D Y W L\n| |  \  |\nH D W Y L\n|  \  …  0
 125  velk          BQEYJF|4                                  B Q E Y J F\n \  | | | |\nQ B E Y J F\n…  0
 126  velk          NCWMO|6                                   N C W M O\n| |  \  |\nN C M W O\n|  \  …  0
 127  velk          PCMY|5                                    P C M Y\n|  \  |\nP M C Y\n \  | |\nM P…  1
 128  velk          RJNKE|3                                   R J N K E\n| |  \  |\nR J K N E\n|  \  …  1
 129  velk          MIVS|3                                    M I V S\n|  \  |\nM V I S\n \  | |\nV M…  1
 130  velk          ODKL|2                                    O D K L\n|  \  |\nO K D L\n \  | |\nK O…  1
 131  velk          LIZSWQ|5                                  L I Z S W Q\n| | |  \  |\nL I Z W S Q\n…  0
 132  velk          XWNLY|2                                   X W N L Y\n| |  \  |\nX W L N Y\n|  \  …  1
 133  velk          QSPK|3                                    Q S P K\n \  | |\nS Q P K\n| |  \\nS Q …  1
 134  velk          ZTYIE|4                                   Z T Y I E\n| |  \  |\nZ T I Y E\n|  \  …  0
 135  velk          PAKL|3                                    P A K L\n|  \  |\nP K A L\n \  | |\nK P…  1
 136  velk          NQMVK|2                                   N Q M V K\n| |  \  |\nN Q V M K\n|  \  …  1
 137  velk          UARW|5                                    U A R W\n|  \  |\nU R A W\n \  | |\nR U…  1
 138  velk          PKNQ|2                                    P K N Q\n|  \  |\nP N K Q\n \  | |\nN P…  1
 139  velk          CBTFP|3                                   C B T F P\n| |  \  |\nC B F T P\n|  \  …  0
 140  velk          XYHTU|2                                   X Y H T U\n| |  \  |\nX Y T H U\n|  \  …  1
 141  velk          RQOEZ|6                                   R Q O E Z\n \  | | |\nQ R O E Z\n| |  \…  0
 142  velk          PMBZK|5                                   P M B Z K\n| |  \  |\nP M Z B K\n|  \  …  0
 143  velk          DOWI|3                                    D O W I\n|  \  |\nD W O I\n \  | |\nW D…  1
 144  velk          FLIH|3                                    F L I H\n|  \  |\nF I L H\n \  | |\nI F…  1
 145  velk          ICSLK|4                                   I C S L K\n|  \  | |\nI S C L K\n \  | …  1
 146  velk          EBTC|4                                    E B T C\n|  \  |\nE T B C\n \  | |\nT E…  0
 147  velk          AMER|5                                    A M E R\n|  \  |\nA E M R\n \  | |\nE A…  0
 148  velk          YWEVZ|6                                   Y W E V Z\n| |  \  |\nY W V E Z\n|  \  …  0
 149  velk          YKPM|6                                    Y K P M\n \  | |\nK Y P M\n| |  \\nK Y …  1
 150  velk          NZQRED|6                                  N Z Q R E D\n| | |  \  |\nN Z Q E R D\n…  0
 151  velk          KDCR|3                                    K D C R\n|  \  |\nK C D R\n \  | |\nC K…  1
 152  velk          LNYQB|3                                   L N Y Q B\n| |  \  |\nL N Q Y B\n|  \  …  1
 153  velk          JCBV|5                                    J C B V\n|  \  |\nJ B C V\n \  | |\nB J…  1
 154  velk          LHGVI|5                                   L H G V I\n| |  \  |\nL H V G I\n|  \  …  0
 155  velk          DLGZNM|3                                  D L G Z N M\n| | |  \  |\nD L G N Z M\n…  0
 156  velk          VIMFT|3                                   V I M F T\n| |  \  |\nV I F M T\n|  \  …  0
 157  velk          VDCBO|6                                   V D C B O\n \  | | |\nD V C B O\n| |  \…  0
 158  velk          HSCGWD|2                                  H S C G W D\n| | |  \  |\nH S C W G D\n…  1
 159  velk          GOPF|5                                    G O P F\n|  \  |\nG P O F\n \  | |\nP G…  1
 160  velk          LEFC|4                                    L E F C\n|  \  |\nL F E C\n \  | |\nF L…  1
 161  velk          NPOUE|6                                   N P O U E\n|  \  | |\nN O P U E\n \  | …  1
 162  velk          EAHMD|6                                   E A H M D\n| |  \  |\nE A M H D\n|  \  …  0
 163  velk          OQZET|3                                   O Q Z E T\n| |  \  |\nO Q E Z T\n|  \  …  0
 164  velk          KZJU|4                                    K Z J U\n|  \  |\nK J Z U\n \  | |\nJ K…  1
 165  velk          FITN|2                                    F I T N\n|  \  |\nF T I N\n \  | |\nT F…  1
 166  velk          JGBZC|6                                   J G B Z C\n| |  \  |\nJ G Z B C\n|  \  …  0
 167  velk          VLDSP|6                                   V L D S P\n| |  \  |\nV L S D P\n|  \  …  1
 168  velk          HOXI|4                                    H O X I\n|  \  |\nH X O I\n \  | |\nX H…  1
 169  velk          AQCIJ|2                                   A Q C I J\n| |  \  |\nA Q I C J\n|  \  …  1
 170  velk          YLDMFG|2                                  Y L D M F G\n| | |  \  |\nY L D F M G\n…  1
 171  velk          AOGSE|6                                   A O G S E\n| |  \  |\nA O S G E\n|  \  …  0
 172  velk          JLEC|6                                    J L E C\n|  \  |\nJ E L C\n \  | |\nE J…  1
 173  velk          FRIO|2                                    F R I O\n|  \  |\nF I R O\n \  | |\nI F…  1
 174  velk          ZJGNAW|3                                  Z J G N A W\n| | |  \  |\nZ J G A N W\n…  0
 175  velk          GDFQ|3                                    G D F Q\n|  \  |\nG F D Q\n \  | |\nF G…  1
 176  velk          SZYR|4                                    S Z Y R\n|  \  |\nS Y Z R\n \  | |\nY S…  1
 177  velk          ZNRK|3                                    Z N R K\n|  \  |\nZ R N K\n \  | |\nR Z…  1
 178  velk          KLNHYA|6                                  K L N H Y A\n| | |  \  |\nK L N Y H A\n…  0
 179  velk          NMDLVH|4                                  N M D L V H\n| | |  \  |\nN M D V L H\n…  0
 180  velk          SCJQT|5                                   S C J Q T\n| |  \  |\nS C Q J T\n|  \  …  0
 181  velk          OIWK|6                                    O I W K\n \  | |\nI O W K\n| |  \\nI O …  1
 182  velk          OIETP|6                                   O I E T P\n| |  \  |\nO I T E P\n|  \  …  0
 183  velk          WEVB|5                                    W E V B\n|  \  |\nW V E B\n \  | |\nV W…  1
 184  velk          LSDR|5                                    L S D R\n|  \  |\nL D S R\n \  | |\nD L…  1
 185  velk          MVCZF|3                                   M V C Z F\n|  \  | |\nM C V Z F\n \  | …  1
 186  velk          MSRC|4                                    M S R C\n|  \  |\nM R S C\n \  | |\nR M…  0
 187  velk          ORSW|4                                    O R S W\n|  \  |\nO S R W\n \  | |\nS O…  0
 188  velk          QLPWVI|6                                  Q L P W V I\n| | |  \  |\nQ L P V W I\n…  0
 189  velk          ACED|5                                    A C E D\n \  | |\nC A E D\n| |  \\nC A …  1
 190  velk          YXKMB|6                                   Y X K M B\n| |  \  |\nY X M K B\n|  \  …  0
 191  velk          DKMRB|6                                   D K M R B\n| |  \  |\nD K R M B\n|  \  …  1
 192  velk          UELJ|5                                    U E L J\n|  \  |\nU L E J\n \  | |\nL U…  1
 193  velk          HBOL|5                                    H B O L\n|  \  |\nH O B L\n \  | |\nO H…  1
 194  velk          LKHBY|6                                   L K H B Y\n| |  \  |\nL K B H Y\n|  \  …  0
 195  velk          PEKYZN|2                                  P E K Y Z N\n| | |  \  |\nP E K Z Y N\n…  1
 196  velk          LOGF|6                                    L O G F\n|  \  |\nL G O F\n \  | |\nG L…  1
 197  velk          WFYM|5                                    W F Y M\n \  | |\nF W Y M\n| |  \\nF W …  1
 198  velk          VLTY|2                                    V L T Y\n|  \  |\nV T L Y\n \  | |\nT V…  1
 199  velk          ZFGUCX|5                                  Z F G U C X\n| | |  \  |\nZ F G C U X\n…  1
 200  velk          SCNW|4                                    S C N W\n|  \  |\nS N C W\n \  | |\nN S…  1
 201  velk          NMWVY|6                                   N M W V Y\n|  \  | |\nN W M V Y\n \  | …  1
 202  velk          WHXQIC|3                                  W H X Q I C\n| | |  \  |\nW H X I Q C\n…  0
 203  velk          HRVU|5                                    H R V U\n|  \  |\nH V R U\n \  | |\nV H…  0
 204  velk          JOZMGV|6                                  J O Z M G V\n| | |  \  |\nJ O Z G M V\n…  0
 205  velk          FLAMPO|6                                  F L A M P O\n \  | | | |\nL F A M P O\n…  0
 206  velk          IZSM|2                                    I Z S M\n|  \  |\nI S Z M\n \  | |\nS I…  1
 207  velk          AQOCKL|4                                  A Q O C K L\n| | |  \  |\nA Q O K C L\n…  1
 208  velk          BZSKR|3                                   B Z S K R\n| |  \  |\nB Z K S R\n|  \  …  1
 209  velk          VSUOJ|2                                   V S U O J\n| |  \  |\nV S O U J\n|  \  …  1
 210  velk          BKTDC|3                                   B K T D C\n| |  \  |\nB K D T C\n|  \  …  0
 211  velk          BPDQG|4                                   B P D Q G\n| |  \  |\nB P Q D G\n|  \  …  0
 212  velk          MHAT|5                                    M H A T\n|  \  |\nM A H T\n \  | |\nA M…  1
 213  velk          MHAKD|4                                   M H A K D\n \  | | |\nH M A K D\n| |  \…  0
 214  velk          IAUEW|2                                   I A U E W\n| |  \  |\nI A E U W\n|  \  …  1
 215  velk          HBKD|5                                    H B K D\n|  \  |\nH K B D\n \  | |\nK H…  1
 216  velk          AMFKRP|4                                  A M F K R P\n| | |  \  |\nA M F R K P\n…  1
 217  velk          QOGRC|6                                   Q O G R C\n|  \  | |\nQ G O R C\n \  | …  1
 218  velk          PBFG|3                                    P B F G\n|  \  |\nP F B G\n \  | |\nF P…  0
 219  velk          TAMZ|3                                    T A M Z\n|  \  |\nT M A Z\n \  | |\nM T…  0
 220  velk          AKQPS|4                                   A K Q P S\n| |  \  |\nA K P Q S\n|  \  …  0
 221  velk          CTYJ|3                                    C T Y J\n \  | |\nT C Y J\n| |  \\nT C …  1
 222  velk          OPIQGA|3                                  O P I Q G A\n| | |  \  |\nO P I G Q A\n…  0
 223  velk          LVTHKE|3                                  L V T H K E\n| | |  \  |\nL V T K H E\n…  1
 224  velk          ZHQAL|2                                   Z H Q A L\n| |  \  |\nZ H A Q L\n|  \  …  1
 225  velk          ZCPQ|2                                    Z C P Q\n|  \  |\nZ P C Q\n \  | |\nP Z…  1
 226  velk          LKYJ|4                                    L K Y J\n|  \  |\nL Y K J\n \  | |\nY L…  0
 227  velk          CFQGD|5                                   C F Q G D\n| |  \  |\nC F G Q D\n|  \  …  0
 228  velk          QUIDV|6                                   Q U I D V\n| |  \  |\nQ U D I V\n|  \  …  0
 229  velk          YCXU|4                                    Y C X U\n \  | |\nC Y X U\n| |  \\nC Y …  1
 230  velk          HPZMB|6                                   H P Z M B\n| |  \  |\nH P M Z B\n|  \  …  0
 231  velk          FVLM|6                                    F V L M\n|  \  |\nF L V M\n \  | |\nL F…  1
 232  velk          OCPZH|5                                   O C P Z H\n| |  \  |\nO C Z P H\n|  \  …  1
 233  velk          MBKUGP|3                                  M B K U G P\n| |  \  | |\nM B U K G P\n…  1
 234  velk          OJMNKF|3                                  O J M N K F\n| | |  \  |\nO J M K N F\n…  0
 235  velk          LIFJB|4                                   L I F J B\n| |  \  |\nL I J F B\n|  \  …  0
 236  velk          QJTX|3                                    Q J T X\n|  \  |\nQ T J X\n \  | |\nT Q…  1
 237  velk          JMUQK|6                                   J M U Q K\n \  | | |\nM J U Q K\n| |  \…  0
 238  velk          YBQEJO|6                                  Y B Q E J O\n| | |  \  |\nY B Q J E O\n…  0
 239  velk          LMCSP|5                                   L M C S P\n| |  \  |\nL M S C P\n|  \  …  1
 240  velk          CXPE|4                                    C X P E\n|  \  |\nC P X E\n \  | |\nP C…  1
 241  velk          LSGVFM|2                                  L S G V F M\n| | |  \  |\nL S G F V M\n…  1
 242  velk          BHCUY|3                                   B H C U Y\n| |  \  |\nB H U C Y\n|  \  …  0
 243  velk          GYSAJ|2                                   G Y S A J\n| |  \  |\nG Y A S J\n|  \  …  1
 244  velk          QLDXJ|4                                   Q L D X J\n| |  \  |\nQ L X D J\n|  \  …  0
 245  velk          SWIFK|6                                   S W I F K\n \  | | |\nW S I F K\n| |  \…  0
 246  velk          QSUTB|6                                   Q S U T B\n| |  \  |\nQ S T U B\n|  \  …  0
 247  velk          LFZPOE|5                                  L F Z P O E\n| | |  \  |\nL F Z O P E\n…  1
 248  velk          KCRJ|6                                    K C R J\n|  \  |\nK R C J\n \  | |\nR K…  1
 249  velk          DUTPZ|5                                   D U T P Z\n|  \  | |\nD T U P Z\n \  | …  1
 250  velk          CFRIV|3                                   C F R I V\n| |  \  |\nC F I R V\n|  \  …  0
 251  velk          VWUT|2                                    V W U T\n|  \  |\nV U W T\n \  | |\nU V…  1
 252  velk          YCKWX|4                                   Y C K W X\n| |  \  |\nY C W K X\n|  \  …  0
 253  velk          WIJSZL|3                                  W I J S Z L\n \  | | | |\nI W J S Z L\n…  0
 254  velk          UROET|6                                   U R O E T\n| |  \  |\nU R E O T\n|  \  …  0
 255  velk          CVBT|2                                    C V B T\n|  \  |\nC B V T\n \  | |\nB C…  1
 256  velk          RMJOSG|5                                  R M J O S G\n| | |  \  |\nR M J S O G\n…  1
 257  velk          CJZU|5                                    C J Z U\n|  \  |\nC Z J U\n \  | |\nZ C…  1
 258  velk          RWFE|4                                    R W F E\n|  \  |\nR F W E\n \  | |\nF R…  0
 259  velk          RKPLM|6                                   R K P L M\n| |  \  |\nR K L P M\n|  \  …  0
 260  velk          ACRDP|6                                   A C R D P\n| |  \  |\nA C D R P\n|  \  …  0
 261  velk          SBGQ|2                                    S B G Q\n|  \  |\nS G B Q\n \  | |\nG S…  1
 262  velk          AGJB|3                                    A G J B\n|  \  |\nA J G B\n \  | |\nJ A…  0
 263  velk          SXNZ|3                                    S X N Z\n|  \  |\nS N X Z\n \  | |\nN S…  1
 264  velk          TYSX|4                                    T Y S X\n|  \  |\nT S Y X\n \  | |\nS T…  1
 265  velk          DBZHQC|5                                  D B Z H Q C\n| |  \  | |\nD B H Z Q C\n…  1
 266  velk          FZHXE|5                                   F Z H X E\n| |  \  |\nF Z X H E\n|  \  …  0
 267  velk          IYRZ|6                                    I Y R Z\n|  \  |\nI R Y Z\n \  | |\nR I…  0
 268  velk          NQBT|2                                    N Q B T\n|  \  |\nN B Q T\n \  | |\nB N…  1
 269  velk          EYUMAS|5                                  E Y U M A S\n \  | | | |\nY E U M A S\n…  0
 270  velk          BIOT|6                                    B I O T\n|  \  |\nB O I T\n \  | |\nO B…  0
 271  velk          TEUVFR|5                                  T E U V F R\n| | |  \  |\nT E U F V R\n…  1
 272  velk          OHPF|4                                    O H P F\n|  \  |\nO P H F\n \  | |\nP O…  1
 273  velk          MGPW|2                                    M G P W\n|  \  |\nM P G W\n \  | |\nP M…  1
 274  velk          SMPXF|5                                   S M P X F\n| |  \  |\nS M X P F\n|  \  …  0
 275  velk          ZKGPR|3                                   Z K G P R\n| |  \  |\nZ K P G R\n|  \  …  0
 276  velk          DFNQAS|4                                  D F N Q A S\n| | |  \  |\nD F N A Q S\n…  0
 277  velk          XKVHU|4                                   X K V H U\n \  | | |\nK X V H U\n| |  \…  0
 278  velk          LDKAT|5                                   L D K A T\n| |  \  |\nL D A K T\n|  \  …  0
 279  velk          UOJGT|2                                   U O J G T\n| |  \  |\nU O G J T\n|  \  …  1
 280  velk          VDRSUG|4                                  V D R S U G\n| | |  \  |\nV D R U S G\n…  1
 281  velk          MUGIJB|3                                  M U G I J B\n| |  \  | |\nM U I G J B\n…  1
 282  velk          MUQWS|6                                   M U Q W S\n| |  \  |\nM U W Q S\n|  \  …  0
 283  velk          GFDET|4                                   G F D E T\n| |  \  |\nG F E D T\n|  \  …  0
 284  velk          POHWY|3                                   P O H W Y\n| |  \  |\nP O W H Y\n|  \  …  0
 285  velk          PRON|2                                    P R O N\n|  \  |\nP O R N\n \  | |\nO P…  1
 286  velk          LZXF|5                                    L Z X F\n|  \  |\nL X Z F\n \  | |\nX L…  0
 287  velk          VABK|5                                    V A B K\n|  \  |\nV B A K\n \  | |\nB V…  1
 288  velk          SJZO|5                                    S J Z O\n|  \  |\nS Z J O\n \  | |\nZ S…  1
